0,500
1,534.73
2,568.404
3,600
4,628.558
5,653.209
6,673.205
7,687.939
8,696.962
9,700
10,696.962
11,687.939
12,673.205
13,653.209
14,628.558
15,600
16,568.404
17,534.73
18,500
19,465.27
20,431.596
21,400
22,371.442
23,346.791
24,326.795
25,312.061
26,303.038
27,300
28,303.038
29,312.061
30,326.795
31,346.791
32,371.442
33,400
34,431.596
35,465.27
36,500
37,534.73
38,568.404
39,600
40,628.558
41,653.209
42,673.205
43,687.939
44,696.962
45,700
46,696.962
47,687.939
48,673.205
49,653.209
50,628.558
51,600
52,568.404
53,534.73
54,500
55,465.27
56,431.596
57,400
58,371.442
59,346.791
60,326.795
61,312.061
62,303.038
63,300
64,303.038
65,312.061
66,326.795
67,346.791
68,371.442
69,400
70,431.596
71,465.27
72,500
73,534.73
74,568.404
75,600
76,628.558
77,653.209
78,673.205
79,687.939
80,696.962
81,700
82,696.962
83,687.939
84,673.205
85,653.209
86,628.558
87,600
88,568.404
89,534.73
90,500
91,465.27
92,431.596
93,400
94,371.442
95,346.791
96,326.795
97,312.061
98,303.038
99,300
100,303.038
