0,8
1,9.2941
2,13
3,18.6066
4,25.3205
5,32.1481
6,38
7,41.8074
8,42.641
9,39.8198
10,33
11,22.235
12,8
13,-8.82324
14,-27
15,-45.033
16,-61.282
17,-74.1037
18,-82
19,-83.763
20,-78.6025
21,-66.2462
22,-47
23,-21.7642
24,8
25,40.3524
26,73
27,103.459
28,129.244
29,148.059
30,158
31,157.719
32,146.564
33,124.673
34,93
35,53.2933
36,8
37,-39.8815
38,-87
39,-129.886
40,-165.205
41,-190.015
42,-202
43,-199.674
44,-182.526
45,-151.099
46,-107
47,-52.8225
48,8
49,71.4107
50,133
51,188.312
52,233.167
53,263.97
54,278
55,273.63
56,250.487
57,209.525
58,153
59,84.3516
60,8.00001
61,-70.9398
62,-147
63,-214.739
64,-269.128
65,-305.926
66,-322
67,-315.585
68,-286.449
69,-235.952
70,-167
71,-83.8808
72,7.99999
73,102.469
74,193
75,273.165
76,337.09
77,379.881
78,398
79,389.541
80,354.41
81,294.378
82,213
83,115.41
84,8.00001
85,-101.998
86,-207
87,-299.591
88,-373.051
89,-421.837
90,-442
91,-431.496
92,-390.372
93,-320.805
94,-227
95,-114.939
96,7.99999
97,133.527
98,253
99,358.018
100,441.013
